event,gender,category,place,name,school,school_abbr,year,result,points,is_relay
100M,M,sprint,1.0,Jordan Anthony,Arkansas,ARK,SO,10.07,10,False
100M,M,sprint,2.0,Max Thomas,USC,USC,JR,10.10(10.091),8,False
100M,M,sprint,3.0,Jelani Watkins,LSU,LSU,FR,10.10(10.092),6,False
100M,M,sprint,4.0,Kanyinsola Ajayi,Auburn,AUB,SO,10.13,5,False
100M,M,sprint,5.0,Davonte Howell,Tennessee,TENN,SO,10.17(10.166),4,False
100M,M,sprint,6.0,Jaiden Reid,LSU,LSU,SO,10.17(10.170),3,False
100M,M,sprint,7.0,Israel Okon,Auburn,AUB,FR,10.18,2,False
100M,M,sprint,8.0,T'Mars McCallum,Tennessee,TENN,JR,10.24,1,False
100M,M,sprint,9.0,Eddie Nketia,USC,USC,SO,10.30,0,False
200M,M,sprint,1.0,Carli Makarawu,Kentucky,UK,JR,19.84,10,False
200M,M,sprint,2.0,Makanakaishe Charamba,Auburn,AUB,SR,19.92,8,False
200M,M,sprint,3.0,Garrett Kaalund,USC,USC,JR,19.96,6,False
200M,M,sprint,4.0,Jordan Anthony,Arkansas,ARK,SO,20.01,5,False
200M,M,sprint,5.0,T'Mars McCallum,Tennessee,TENN,JR,20.16,4,False
200M,M,sprint,6.0,Max Thomas,USC,USC,JR,20.23,3,False
200M,M,sprint,7.0,Xavier Butler,Texas,TEX,SO,20.39,2,False
200M,M,sprint,8.0,Abdul-Rasheed Saminu,South Florida,USF,SR,20.55,1,False
200M,M,sprint,9.0,Cameron Miller,Purdue,PURD,JR,20.56,0,False
400M,M,sprint,1.0,Samuel Ogazi,Alabama,BAMA,SO,44.84,10,False
400M,M,sprint,2.0,William Jones,USC,USC,JR,45.53,8,False
400M,M,sprint,3.0,Jordan Pierre,Arkansas-Pine Bluff,UAPB,SO,45.75,6,False
400M,M,sprint,4.0,DeSean Boyce,Texas Tech,TTU,JR,45.78,5,False
400M,M,sprint,5.0,Joseph Taylor,Duke,DUKE,FR,45.83,4,False
400M,M,sprint,6.0,Jayden Davis,Arizona State,AZST,SO,45.91,3,False
400M,M,sprint,7.0,Auhmad Robinson,Texas A&M,TAMU,SR,46.07,2,False
400M,M,sprint,8.0,Gabriel Clement II,UCLA,UCLA,SO,46.17,1,False
400M,M,sprint,,Gabriel Moronta,South Florida,USF,SR,DQR: 15.5-2b ⓘ,0,False
800M,M,mid_distance,1.0,Sam Whitmarsh,Texas A&M,TAMU,SR,1:45.86,10,False
800M,M,mid_distance,2.0,Matthew Erickson,Oregon,UO,SR,1:46.32,8,False
800M,M,mid_distance,3.0,Rivaldo Marshall,Arkansas,ARK,SR,1:46.71,6,False
800M,M,mid_distance,4.0,Samuel Rodman,Princeton,PRIN,SR,1:46.86,5,False
800M,M,mid_distance,5.0,Aidan McCarthy,Cal Poly,POLY,JR,1:46.88,4,False
800M,M,mid_distance,6.0,Samuel Navarro,Miss State,MSST,SR,1:47.33,3,False
800M,M,mid_distance,7.0,Christian Jackson,Virginia Tech,VT,JR,1:47.42,2,False
800M,M,mid_distance,8.0,Tyrice Taylor,Arkansas,ARK,JR,1:47.44,1,False
800M,M,mid_distance,9.0,Koitatoi Kidali,Oregon,UO,FR,1:52.10,0,False
1500M,M,mid_distance,1.0,Nathan Green,Washington,WASH,JR,3:47.26,10,False
1500M,M,mid_distance,2.0,Ethan Strand,North Carolina,UNC,JR,3:47.33,8,False
1500M,M,mid_distance,3.0,Ferenc Kovacs,Harvard,HARV,SO,3:47.42,6,False
1500M,M,mid_distance,4.0,Adam Spencer,Wisconsin,WISC,SR,3:47.50,5,False
1500M,M,mid_distance,5.0,Gary Martin,Virginia,UVA,JR,3:47.58,4,False
1500M,M,mid_distance,6.0,Jack Crull,Bradley,BRAD,SR,3:47.61,3,False
1500M,M,mid_distance,7.0,Simeon Birnbaum,Oregon,UO,SO,3:47.64,2,False
1500M,M,mid_distance,8.0,Damian Hackett,Cornell,CORN,SR,3:47.74,1,False
1500M,M,mid_distance,9.0,Brendan Herger,Michigan,MICH,FR,3:47.88,0,False
1500M,M,mid_distance,10.0,Harrison Witt,Princeton,PRIN,SR,3:47.92,0,False
1500M,M,mid_distance,11.0,Trent McFarland,Michigan,MICH,SO,3:47.94,0,False
1500M,M,mid_distance,12.0,Martin Segurola,Indiana,IU,JR,3:48.71,0,False
3000SC,M,distance,1.0,James Corrigan,BYU,BYU,JR,8:16.41,10,False
3000SC,M,distance,2.0,Geoffrey Kirwa,Louisville,LOU,FR,8:17.12,8,False
3000SC,M,distance,3.0,Carson Williams,Furman,FURM,SR,8:19.71,6,False
3000SC,M,distance,4.0,Joash Ruto,Iowa State,IAST,FR,8:20.47,5,False
3000SC,M,distance,5.0,Collins Kiprop Kipngok,Kentucky,UK,FR,8:22.92,4,False
3000SC,M,distance,6.0,Mathew Kosgei,New Mexico,UNM,FR,8:23.70,3,False
3000SC,M,distance,7.0,Benjamin Balazs,Oregon,UO,SO,8:24.46,2,False
3000SC,M,distance,8.0,Rob McManus,Montana State,MTST,JR,8:25.83,1,False
3000SC,M,distance,9.0,CJ Singleton,Notre Dame,ND,JR,8:28.93,0,False
3000SC,M,distance,10.0,Silas Kiptanui,Tulane,TUL,SO,8:32.20,0,False
3000SC,M,distance,11.0,Victor Kibiego,Texas A&M,TAMU,JR,8:32.33,0,False
3000SC,M,distance,12.0,Kristian Imroth,Eastern Kentucky,EKU,JR,8:49.06,0,False
5000M,M,distance,1.0,Brian Musau,Oklahoma State,OKST,SO,13:20.59,10,False
5000M,M,distance,2.0,Habtom Samuel,New Mexico,UNM,SO,13:20.89,8,False
5000M,M,distance,3.0,Marco Langon,Villanova,NOVA,JR,13:21.17,6,False
5000M,M,distance,4.0,Valentin Soca,CBU,CBU,JR,13:21.76,5,False
5000M,M,distance,5.0,Rocky Hansen,Wake Forest,WAKE,SO,13:22.47,4,False
5000M,M,distance,6.0,Matt Strangio,Portland,PORT,SR,13:23.28,3,False
5000M,M,distance,7.0,Ishmael Kipkurui,New Mexico,UNM,FR,13:25.18,2,False
5000M,M,distance,8.0,Fouad Messaoudi,Oklahoma State,OKST,SR,13:25.48,1,False
5000M,M,distance,9.0,Toby Gillen,Ole Miss,MISS,SR,13:26.74,0,False
5000M,M,distance,10.0,David Mullarkey,Northern Arizona,NAU,SR,13:28.43,0,False
5000M,M,distance,11.0,Robin Kwemoi Bera,Iowa State,IAST,FR,13:30.52,0,False
5000M,M,distance,12.0,Colton Sands,North Carolina,UNC,SR,13:36.26,0,False
5000M,M,distance,13.0,Will Daley,Virginia,UVA,JR,13:36.55,0,False
5000M,M,distance,14.0,Luke Tewalt,Wake Forest,WAKE,SR,13:37.47,0,False
5000M,M,distance,15.0,Jacob White,Wyoming,WYO,JR,13:37.82,0,False
5000M,M,distance,16.0,Ernest Cheruiyot,Texas Tech,TTU,SO,13:38.09,0,False
5000M,M,distance,17.0,Drew Bosley,Northern Arizona,NAU,SR,13:39.04,0,False
5000M,M,distance,18.0,JoJo Jourdon,Wake Forest,WAKE,FR,13:41.00,0,False
5000M,M,distance,19.0,Ethan Strand,North Carolina,UNC,JR,13:42.20,0,False
5000M,M,distance,20.0,Matthew Forrester,Butler,BUTL,JR,13:43.85,0,False
5000M,M,distance,21.0,Kidus Misgina,Ole Miss,MISS,SR,13:49.21,0,False
5000M,M,distance,22.0,Hunter Christopher,Youngstown St.,YSU,SR,13:49.43,0,False
5000M,M,distance,23.0,Luke Grundvig,BYU,BYU,JR,13:54.70,0,False
5000M,M,distance,24.0,Justin Wachtel,Virginia,UVA,JR,14:11.51,0,False
10000M,M,distance,1.0,Ishmael Kipkurui,New Mexico,UNM,FR,29:07.70,10,False
10000M,M,distance,2.0,Habtom Samuel,New Mexico,UNM,SO,29:08.73,8,False
10000M,M,distance,3.0,Ernest Cheruiyot,Texas Tech,TTU,SO,29:10.37,6,False
10000M,M,distance,4.0,Rodgers Kiplimo,Iowa State,IAST,JR,29:10.89,5,False
10000M,M,distance,5.0,Evans Kurui,Washington State,WAST,SO,29:10.91,4,False
10000M,M,distance,6.0,David Mullarkey,Northern Arizona,NAU,SR,29:11.05,3,False
10000M,M,distance,7.0,Dylan Schubert,Furman,FURM,SR,29:11.18,2,False
10000M,M,distance,8.0,Creed Thompson,BYU,BYU,JR,29:11.44,1,False
10000M,M,distance,9.0,Denis Kipngetich,Oklahoma State,OKST,SO,29:11.50,0,False
10000M,M,distance,10.0,Ben Rosa,Harvard,HARV,SR,29:12.19,0,False
10000M,M,distance,11.0,Dismus Lokira,Alabama,BAMA,FR,29:13.51,0,False
10000M,M,distance,12.0,Cole Sprout,Stanford,STAN,SR,29:18.13,0,False
10000M,M,distance,13.0,Murphy Smith,Navy,NAVY,SR,29:18.39,0,False
10000M,M,distance,14.0,Joey Nokes,BYU,BYU,SR,29:19.76,0,False
10000M,M,distance,15.0,Ethan Coleman,Notre Dame,ND,JR,29:22.01,0,False
10000M,M,distance,16.0,William Zegarski,Butler,BUTL,SO,29:22.91,0,False
10000M,M,distance,17.0,Dylan Throop,Penn,PENN,SR,29:24.03,0,False
10000M,M,distance,18.0,Bernard Cheruiyot,Tulane,TUL,FR,29:24.80,0,False
10000M,M,distance,19.0,Timothy Chesondin,Arkansas,ARK,SO,29:26.37,0,False
10000M,M,distance,20.0,Drew Bosley,Northern Arizona,NAU,SR,29:28.52,0,False
10000M,M,distance,21.0,Sam Lawler,Syracuse,SYR,SR,29:31.40,0,False
10000M,M,distance,22.0,Victor Kiprop,Alabama,BAMA,SR,29:31.44,0,False
10000M,M,distance,23.0,Shane Brosnan,Harvard,HARV,SO,29:33.81,0,False
10000M,M,distance,,Dennis Kipruto,Alabama,BAMA,SO,DNF,0,False
110MH,M,sprint,1.0,Ja'Kobe Tharp,Auburn,AUB,SO,13.05,10,False
110MH,M,sprint,2.0,Zachary Extine,Arizona,ARIZ,JR,13.13,8,False
110MH,M,sprint,3.0,John Adesola,Houston,UH,SR,13.28,6,False
110MH,M,sprint,4.0,Jamar Marshall Jr.,Houston,UH,SR,13.34,5,False
110MH,M,sprint,5.0,Demario Prince,Baylor,BAY,FR,13.44,4,False
110MH,M,sprint,6.0,Darius Brown,DePaul,DEP,SR,13.50,3,False
110MH,M,sprint,7.0,Jahiem Stern,LSU,LSU,JR,13.57,2,False
110MH,M,sprint,8.0,Jayden Smith,Davidson,DAVD,SR,13.65,1,False
110MH,M,sprint,,Kendrick Smallwood,Texas,TEX,JR,DQR: 15.6-2d ⓘ,0,False
400MH,M,sprint,1.0,Nathaniel Ezekiel,Baylor,BAY,SR,47.49,10,False
400MH,M,sprint,2.0,Ja'Qualon Scott,Texas A&M,TAMU,SR,48.29,8,False
400MH,M,sprint,3.0,Kody Blackwood,Texas,TEX,JR,48.66,6,False
400MH,M,sprint,4.0,Oskar Edlund,Texas Tech,TTU,SR,49.02,5,False
400MH,M,sprint,5.0,Saad Hinti,Tennessee,TENN,FR,49.11,4,False
400MH,M,sprint,6.0,Bryce McCray,Texas A&M,TAMU,SR,49.52,3,False
400MH,M,sprint,7.0,Johnny Brackins,USC,USC,SR,50.15,2,False
400MH,M,sprint,8.0,Bryce Tucker,Rutgers,RUTG,SO,50.83,1,False
400MH,M,sprint,9.0,Jarrett Gentles,Coppin State,COPP,SR,51.50,0,False
4x100M,M,relay,1.0,AUBURN,Auburn,AUB,,38.33,10,True
4x100M,M,relay,2.0,USC,USC,USC,,38.46,8,True
4x100M,M,relay,3.0,ARKANSAS,Arkansas,ARK,,38.72,6,True
4x100M,M,relay,4.0,SOUTH FLORIDA,South Florida,USF,,38.73,5,True
4x100M,M,relay,5.0,TENNESSEE,Tennessee,TENN,,38.79,4,True
4x100M,M,relay,6.0,KENTUCKY,Kentucky,UK,,38.85,3,True
4x100M,M,relay,7.0,MINNESOTA,Minnesota,MINN,,38.88,2,True
4x100M,M,relay,8.0,TEXAS,Texas,TEX,,39.10,1,True
4x100M,M,relay,,LSU,LSU,LSU,,DQR: 15.5-2b ⓘ,0,True
4x400M,M,relay,1.0,SOUTH FLORIDA,South Florida,USF,,3:00.42,10,True
4x400M,M,relay,2.0,TEXAS A&M,Texas A&M,TAMU,,3:00.73,8,True
4x400M,M,relay,3.0,ARKANSAS,Arkansas,ARK,,3:01.59,6,True
4x400M,M,relay,4.0,IOWA,Iowa,IOWA,,3:01.61,5,True
4x400M,M,relay,5.0,FLORIDA,Florida,UF,,3:01.88,4,True
4x400M,M,relay,6.0,ALABAMA,Alabama,BAMA,,3:02.17,3,True
4x400M,M,relay,7.0,BYU,BYU,BYU,,3:02.51,2,True
4x400M,M,relay,8.0,USC,USC,USC,,3:03.18,1,True
4x400M,M,relay,9.0,PENN STATE,Penn State,PSU,,3:03.85,0,True
High Jump,M,jump,1.0,Arvesta Troupe,Ole Miss,MISS,JR,2.27m7-5¼,10,False
High Jump,M,jump,2.0,Kason O'Riley,Texas State,TXST,SR,2.20m7-2½,8,False
High Jump,M,jump,2.0,Aiden Hayes,Texas State,TXST,JR,2.20m7-2½,8,False
High Jump,M,jump,4.0,Kamyren Garrett,Illinois,ILL,SR,2.20m7-2½,5,False
High Jump,M,jump,5.0,Nathanil Figgers,South Carolina,SCAR,SO,2.20m7-2½,4,False
High Jump,M,jump,6.0,Kyren Washington,Oklahoma,OU,SO,2.20m7-2½,3,False
High Jump,M,jump,6.0,Tyus Wilson,Nebraska,NEB,SR,2.20m7-2½,3,False
High Jump,M,jump,8.0,Eddie Kurjak,Georgia,UGA,SR,2.15m7-½,1,False
High Jump,M,jump,8.0,Kuda Chadenga,LSU,LSU,SR,2.15m7-½,1,False
High Jump,M,jump,8.0,Kampton Kam,Penn,PENN,JR,2.15m7-½,1,False
High Jump,M,jump,11.0,Desire Tonye Nyemeck,Nebraska,NEB,FR,2.15m7-½,0,False
High Jump,M,jump,12.0,Elias Gerald,USC,USC,JR,2.15m7-½,0,False
High Jump,M,jump,13.0,Bode Gilkerson,Purdue,PURD,SO,2.15m7-½,0,False
High Jump,M,jump,13.0,Antrea Mita,Houston,UH,SO,2.15m7-½,0,False
High Jump,M,jump,15.0,Donald Hatfield Jackson,SE Missouri,SEMO,SR,2.15m7-½,0,False
High Jump,M,jump,16.0,Miles Grant,Sacramento St.,SAC,SR,2.10m6-10¾,0,False
High Jump,M,jump,16.0,Kennedy Sauder,Miami (Fla.),MIAF,JR,2.10m6-10¾,0,False
High Jump,M,jump,16.0,Channing Ferguson,South Carolina,SCAR,SR,2.10m6-10¾,0,False
High Jump,M,jump,16.0,Riyon Rankin,Georgia,UGA,SO,2.10m6-10¾,0,False
High Jump,M,jump,20.0,Tito Alofe,Harvard,HARV,SO,2.10m6-10¾,0,False
High Jump,M,jump,20.0,Osawese Agbonkonkon,Texas,TEX,SO,2.10m6-10¾,0,False
High Jump,M,jump,20.0,Enaji Muhammad,Connecticut,CONN,FR,2.10m6-10¾,0,False
High Jump,M,jump,23.0,Roman Smith,Southern,SOUT,SR,2.10m6-10¾,0,False
High Jump,M,jump,,Scottie VINES,Arkansas,ARK,FR,NH,0,False
Pole Vault,M,jump,1.0,Aleksandr Solovev,Texas A&M,TAMU,JR,5.78m18-11½,10,False
Pole Vault,M,jump,2.0,Ashton Barkdull,Kansas,KU,JR,5.73m18-9½,8,False
Pole Vault,M,jump,3.0,Bradley Jelmert,Arkansas State,ARST,SR,5.63m18-5½,6,False
Pole Vault,M,jump,4.0,Benjamin Conacher,Virginia Tech,VT,SR,5.58m18-3¾,5,False
Pole Vault,M,jump,5.0,Simen Guttormsen,Duke,DUKE,SR,5.53m18-1¾,4,False
Pole Vault,M,jump,5.0,Bryce Barkdull,Kansas,KU,FR,5.53m18-1¾,4,False
Pole Vault,M,jump,7.0,Cody Johnston,Illinois,ILL,SO,5.53m18-1¾,2,False
Pole Vault,M,jump,7.0,Kevin O'Sullivan,Rutgers,RUTG,JR,5.53m18-1¾,2,False
Pole Vault,M,jump,9.0,William Staggs,Indiana State,INST,SR,5.53m18-1¾,0,False
Pole Vault,M,jump,10.0,Cade Gray,Tennessee,TENN,JR,5.43m17-9¾,0,False
Pole Vault,M,jump,11.0,Scott Toney,Washington,WASH,SR,5.43m17-9¾,0,False
Pole Vault,M,jump,12.0,Jak Urlacher,Minnesota,MINN,SR,5.43m17-9¾,0,False
Pole Vault,M,jump,13.0,Logan Hammer,Utah State,UTST,JR,5.33m17-5¾,0,False
Pole Vault,M,jump,13.0,Nico Morales,Rutgers,RUTG,SR,5.33m17-5¾,0,False
Pole Vault,M,jump,13.0,Evan Puckett,Tennessee,TENN,JR,5.33m17-5¾,0,False
Pole Vault,M,jump,13.0,John Kendricks,Ole Miss,MISS,SO,5.33m17-5¾,0,False
Pole Vault,M,jump,17.0,Logan Kelley,Ole Miss,MISS,JR,5.33m17-5¾,0,False
Pole Vault,M,jump,18.0,Sean Gribble,Texas Tech,TTU,SO,5.33m17-5¾,0,False
Pole Vault,M,jump,18.0,Tre Young,South Dakota,SDAK,SR,5.33m17-5¾,0,False
Pole Vault,M,jump,20.0,Arnie Grunert,Western Illinois,WIU,JR,5.18m17-0,0,False
Pole Vault,M,jump,21.0,Nikolai van Huyssteen,Georgia,UGA,SR,5.18m17-0,0,False
Pole Vault,M,jump,,Hunter GARRETSON,Akron,AKRN,SR,NH,0,False
Pole Vault,M,jump,,Colton RHODES,Oklahoma,OU,JR,NH,0,False
Pole Vault,M,jump,,Ricardo MONTES DE OCA,High Point,HPU,FR,NH,0,False
Long Jump,M,jump,1.0,Malcolm Clemons,Florida,UF,SR,8.04m26-4½,10,False
Long Jump,M,jump,2.0,Blair Anderson,Oklahoma State,OKST,SR,8.02m26-3¾,8,False
Long Jump,M,jump,3.0,Henry Kiner,Arkansas,ARK,SR,7.96m26-1½,6,False
Long Jump,M,jump,4.0,Charles Godfred,Minnesota,MINN,SO,7.91m25-11½,5,False
Long Jump,M,jump,5.0,Lokesh Sathyanathan,Tarleton State,TARL,SR,7.83m25-8¼,4,False
Long Jump,M,jump,6.0,Tyson Adams,NC State,NCSU,FR,7.81m25-7½,3,False
Long Jump,M,jump,7.0,Greg Foster,Princeton,PRIN,JR,7.80m25-7¼,2,False
Long Jump,M,jump,8.0,Jayden Keys,Georgia,UGA,FR,7.80m25-7¼,1,False
Long Jump,M,jump,9.0,Uroy Ryan,Arkansas,ARK,FR,7.77m25-6,0,False
Long Jump,M,jump,10.0,Tye Hunt,Youngstown St.,YSU,SR,7.77m25-6,0,False
Long Jump,M,jump,11.0,Chrstyn John (JC) Stevenson,USC,USC,JR,7.75m25-5¼,0,False
Long Jump,M,jump,12.0,De'Aundre Ward,Southern Miss.,USM,SR,7.73m25-4½,0,False
Long Jump,M,jump,13.0,Reinaldo Rodrigues,Arizona,ARIZ,SR,7.69m25-2¾,0,False
Long Jump,M,jump,14.0,Chris Preddie,Texas State,TXST,JR,7.62m25-0,0,False
Long Jump,M,jump,15.0,Roy Morris,Northwestern St.,NWST,FR,7.51m24-7¾,0,False
Long Jump,M,jump,16.0,Anthony Riley,Oklahoma,OU,SR,7.46m24-5¾,0,False
Long Jump,M,jump,17.0,Micah Larry,Georgia,UGA,SO,7.46m24-5¾,0,False
Long Jump,M,jump,18.0,Juriad Hughes,Arkansas,ARK,FR,7.41m24-3¾,0,False
Long Jump,M,jump,19.0,DJ Fillmore,Ohio State,OHST,SO,7.40m24-3½,0,False
Long Jump,M,jump,20.0,Curtis Williams,Florida State,FSU,JR,7.18m23-6¾,0,False
Long Jump,M,jump,21.0,Louis Gordon,Albany,ALBY,SR,7.13m23-4¾,0,False
Long Jump,M,jump,,Josh Parrish,Wichita State,WICH,SO,X,0,False
Long Jump,M,jump,,Safin Wills,Oregon,UO,SR,X,0,False
Long Jump,M,jump,,Channing Ferguson,South Carolina,SCAR,SR,X,0,False
Triple Jump,M,jump,1.0,Brandon Green Jr,Oklahoma,OU,JR,16.81m55-2,10,False
Triple Jump,M,jump,2.0,Floyd Whitaker,Oklahoma,OU,SR,16.41m53-10¼,8,False
Triple Jump,M,jump,3.0,Kyvon Tatham,Florida State,FSU,JR,16.23m53-3,6,False
Triple Jump,M,jump,4.0,Luke Brown,Kentucky,UK,JR,16.18m53-1,5,False
Triple Jump,M,jump,5.0,Selva Prabhu,Kansas State,KSST,FR,16.09m52-9½,4,False
Triple Jump,M,jump,6.0,Theophilus Mudzengerere,South Carolina,SCAR,JR,16.09m52-9½,3,False
Triple Jump,M,jump,7.0,Safin Wills,Oregon,UO,SR,16.07m52-8¾,2,False
Triple Jump,M,jump,8.0,Stafon Roach,ULM,ULM,SO,15.99m52-5½,1,False
Triple Jump,M,jump,9.0,Abraham Johnson,Eastern Illinois,EIU,FR,15.96m52-4½,0,False
Triple Jump,M,jump,10.0,Hakeem Ford,Minnesota,MINN,SO,15.89m52-1¾,0,False
Triple Jump,M,jump,11.0,Jaren Holmes,USC,USC,SR,15.75m51-8¼,0,False
Triple Jump,M,jump,12.0,Alexandre Malanda,Kent State,KENT,SR,15.69m51-5¾,0,False
Triple Jump,M,jump,13.0,Ryan John,Clemson,CLEM,JR,15.65m51-4¼,0,False
Triple Jump,M,jump,14.0,Kelsey Daniel,Texas,TEX,SR,15.53m50-11½,0,False
Triple Jump,M,jump,15.0,Jeremy Nelson,Louisiana,ULL,JR,15.46m50-8¾,0,False
Triple Jump,M,jump,16.0,Roman Kuleshov,Louisville,LOU,SR,15.35m50-4½,0,False
Triple Jump,M,jump,17.0,Xavier Partee,N. Carolina A&T,NCAT,SO,15.32m50-3¼,0,False
Triple Jump,M,jump,18.0,Chris Preddie,Texas State,TXST,JR,15.20m49-10½,0,False
Triple Jump,M,jump,19.0,Ledamian Rowell,Jackson State,JKST,SR,15.15m49-8½,0,False
Triple Jump,M,jump,20.0,Sir Jonathan Sims,Tarleton State,TARL,JR,15.07m49-5½,0,False
Triple Jump,M,jump,21.0,Xavier Drumgoole,Stanford,STAN,FR,13.06m42-10¼,0,False
Triple Jump,M,jump,,Anthony Woods,Alabama State,ALST,JR,X,0,False
Triple Jump,M,jump,,Jaden Lippett,Florida,UF,FR,X,0,False
Triple Jump,M,jump,,Viktor Morozov,Illinois,ILL,JR,X,0,False
Shot Put,M,throw,1.0,Jason Swarens,Wisconsin,WISC,SR,21.23m69-8,10,False
Shot Put,M,throw,2.0,Thomas Kitchell,North Carolina,UNC,SR,20.74m68-½,8,False
Shot Put,M,throw,3.0,Tarik Robinson-O'Hagan,Ole Miss,MISS,JR,20.41m66-11½,6,False
Shot Put,M,throw,4.0,Kobe Lawrence,Oregon,UO,FR,20.32m66-8,5,False
Shot Put,M,throw,5.0,Christopher Licata,South Carolina,SCAR,SR,20.15m66-1½,4,False
Shot Put,M,throw,6.0,Danny Bryant,BYU,BYU,SR,19.71m64-8,3,False
Shot Put,M,throw,7.0,Dylan Targgart,South Carolina,SCAR,SR,19.48m63-11,2,False
Shot Put,M,throw,8.0,Fred Moudani Likibi,Cincinnati,CINC,SR,19.44m63-9½,1,False
Shot Put,M,throw,9.0,Joseph White,Wisconsin,WISC,SR,19.30m63-4,0,False
Shot Put,M,throw,10.0,Zach Landa,Arizona,ARIZ,SR,19.05m62-6,0,False
Shot Put,M,throw,11.0,Bryce Foster,Kansas,KU,JR,18.96m62-2½,0,False
Shot Put,M,throw,12.0,Christopher Crawford,Alabama,BAMA,JR,18.94m62-1¾,0,False
Shot Put,M,throw,13.0,Joe Licata,Princeton,PRIN,JR,18.93m62-1¼,0,False
Shot Put,M,throw,14.0,Trevor Gunzell,Alabama,BAMA,JR,18.91m62-½,0,False
Shot Put,M,throw,15.0,Alexander Kolesnikoff,Georgia,UGA,SR,18.75m61-6¼,0,False
Shot Put,M,throw,16.0,Jacob Cookinham,Kansas,KU,FR,18.70m61-4¼,0,False
Shot Put,M,throw,17.0,Obiora Okeke,Columbia,COLU,SR,18.65m61-2¼,0,False
Shot Put,M,throw,18.0,Cam Jones,Iowa State,IAST,SR,18.62m61-1¼,0,False
Shot Put,M,throw,19.0,Maxwell Otterdahl,Nebraska,NEB,SR,18.55m60-10½,0,False
Shot Put,M,throw,20.0,Joshua Huisman,Michigan,MICH,FR,18.33m60-1¾,0,False
Shot Put,M,throw,21.0,Tucker Smith,Oklahoma,OU,JR,18.26m59-11,0,False
Shot Put,M,throw,22.0,Daniel Reynolds,Wyoming,WYO,SR,17.82m58-5¾,0,False
Shot Put,M,throw,,Sascha Schmidt,Memphis,MEMP,JR,X,0,False
Shot Put,M,throw,,David (Trey) Wilson,Texas Tech,TTU,SO,X,0,False
Discus,M,throw,1.0,Ralford Mullings,Oklahoma,OU,JR,69.31m227-4,10,False
Discus,M,throw,2.0,Mykolas Alekna,California,CAL,JR,66.77m219-0,8,False
Discus,M,throw,3.0,Uladzislau Puchko,Virginia Tech,VT,SO,63.94m209-9,6,False
Discus,M,throw,4.0,Racquil Broderick,USC,USC,SO,63.31m207-8,5,False
Discus,M,throw,5.0,Michael Pinckney,UCLA,UCLA,JR,61.39m201-5,4,False
Discus,M,throw,6.0,Dimitrios Pavlidis,Kansas,KU,SR,61.04m200-3,3,False
Discus,M,throw,7.0,Vincent Ugwoke,South Florida,USF,SR,60.58m198-9,2,False
Discus,M,throw,8.0,Aron Alvarez Aranda,Tennessee,TENN,SO,59.87m196-5,1,False
Discus,M,throw,9.0,Christopher Crawford,Alabama,BAMA,JR,59.08m193-10,0,False
Discus,M,throw,10.0,Jacob Lemmon,Florida,UF,SR,59.07m193-9,0,False
Discus,M,throw,11.0,Desmond Coleman,Miami (Fla.),MIAF,JR,58.58m192-2,0,False
Discus,M,throw,12.0,Youssef Koudssi,Arizona,ARIZ,SR,58.32m191-4,0,False
Discus,M,throw,13.0,Casey Helm,Princeton,PRIN,JR,57.79m189-7,0,False
Discus,M,throw,14.0,Trevor Gunzell,Alabama,BAMA,JR,57.52m188-8,0,False
Discus,M,throw,15.0,Christopher Young,Alabama,BAMA,JR,57.23m187-9,0,False
Discus,M,throw,16.0,Maxwell Otterdahl,Nebraska,NEB,SR,57.07m187-3,0,False
Discus,M,throw,17.0,Iosif Papa,UMBC,UMBC,JR,56.98m186-11,0,False
Discus,M,throw,18.0,Aidan Elbettar,Oregon,UO,SR,56.49m185-4,0,False
Discus,M,throw,19.0,Paden Lewis,SE Missouri,SEMO,SR,56.27m184-7,0,False
Discus,M,throw,20.0,Texas Tanner,Air Force,AFA,JR,55.76m182-11,0,False
Discus,M,throw,21.0,Skylar Coffey,Missouri,MIZZ,SR,55.59m182-4,0,False
Discus,M,throw,22.0,Oscar Rodriguez,Texas Tech,TTU,SR,55.20m181-1,0,False
Discus,M,throw,23.0,Seth Allen,Auburn,AUB,JR,54.88m180-1,0,False
Discus,M,throw,24.0,Tanner Watson,Ohio State,OHST,SR,53.92m176-11,0,False
Hammer,M,throw,1.0,Kostas Zaltos,Minnesota,MINN,SR,78.08m256-2,10,False
Hammer,M,throw,2.0,Angelos Mantzouranis,Minnesota,MINN,SO,76.96m252-6,8,False
Hammer,M,throw,3.0,Tarik Robinson-O'Hagan,Ole Miss,MISS,JR,76.78m251-11,6,False
Hammer,M,throw,4.0,Texas Tanner,Air Force,AFA,JR,75.22m246-9,5,False
Hammer,M,throw,5.0,Rory Devaney,Cal Poly,POLY,JR,74.16m243-4,4,False
Hammer,M,throw,6.0,Ryan Johnson,Iowa,IOWA,SO,71.91m235-11,3,False
Hammer,M,throw,7.0,Daniel Reynolds,Wyoming,WYO,SR,69.68m228-7,2,False
Hammer,M,throw,8.0,Christian Toro,Duke,DUKE,SO,68.94m226-2,1,False
Hammer,M,throw,9.0,Kyle Brown,Auburn,AUB,SR,68.91m226-1,0,False
Hammer,M,throw,10.0,Travis Martin,Cal Poly,POLY,SR,68.31m224-1,0,False
