place_overall,place_gender,place_division,name,idp,team,bib,half,finish_net,finish_gun
4919,4526,839,"Jorissen, Kevin",9TGHS6FF18397E,–,4773,01:29:41,03:03:21,03:05:28
4920,4527,2981,"Miller, Michael",9TGHS6FF17E127,–,4610,01:31:00,03:03:21,03:05:14
14372,4527,2782,"Nazari, Isabella",9TGHS6FF17D381,–,16184,01:43:21,03:37:44,03:37:52
14375,4528,535,"Levy, Rosemarie",9TGHS6FF18308A,–,21239,01:48:56,03:37:45,03:42:23
4922,4528,2982,"Xiao, Baitao",9TGHS6FF17CEEB,–,6080,01:30:07,03:03:22,03:06:22
4923,4529,840,"Larsen, Thomas",9TGHS6FF17E0C4,–,9635,01:29:39,03:03:22,03:03:52
14378,4529,889,"Troth, Jamie",9TGHS6FF183415,–,20333,01:49:13,03:37:47,03:39:49
4924,4530,841,"Schiz, Douglas",9TGHS6FF17DB9B,–,8015,01:30:15,03:03:22,03:03:30
14379,4530,890,"Hong, Carrie",9TGHS6FF182857,–,18141,01:47:23,03:37:47,03:39:06
4925,4531,842,"Thacker, Ben",9TGHS6FF17E468,–,3534,01:28:35,03:03:22,03:04:38
14380,4531,2783,"Sizemore, Alexandra",9TGHS6FF182F15,–,16760,01:45:40,03:37:47,03:37:57
4926,4532,213,"Tanen, David",9TGHS6FF182DFE,–,10176,01:34:34,03:03:23,03:04:31
14381,4532,536,"Zheng, Samantha",9TGHS6FF17DB82,Misty Mountain Runners,18487,01:43:17,03:37:47,03:39:07
14382,4533,2784,"Budankova, Pelageia",9TGHS6FF1839AF,–,12889,01:40:59,03:37:47,03:39:54
4928,4533,426,"Luznyj, Galvin",9TGHS6FF183A93,–,10448,01:32:13,03:03:23,03:04:25
4929,4534,843,"Pfefferle, Justin",9TGHS6FF17D9D6,–,4179,01:26:03,03:03:24,03:05:13
14384,4534,2785,"Bruns, Lauren",9TGHS6FF17E482,–,7099,01:46:06,03:37:47,03:42:46
14386,4535,891,"Borbolla Hernandez, Paulina",9TGHS6FF17CA0F,–,16197,01:45:19,03:37:47,03:37:47
4930,4535,2983,"Keene, Jessop",9TGHS6FF17F90C,–,2819,01:29:45,03:03:24,03:04:19
4933,4536,214,"Madej, Robert",9TGHS6FF182A33,–,6312,01:29:25,03:03:25,03:07:46
14389,4536,892,"Boucher, Genevieve",9TGHS6FF17DD7F,–,17901,01:47:41,03:37:48,03:38:40
14391,4537,74,"Wen, Yuerong",9TGHS6FF17E238,–,22933,01:48:07,03:37:50,03:46:26
4934,4537,427,"Simms, Michael",9TGHS6FF17F00E,–,6968,01:29:20,03:03:25,03:06:40
4935,4538,2984,"Foutch, Tyler",9TGHS6FF17CE63,–,4409,01:31:45,03:03:26,03:05:22
14392,4538,537,"Tobing, Rugun",9TGHS6FF17E407,–,20099,01:48:36,03:37:50,03:40:26
14394,4539,538,"Bachelder, Jennifer",9TGHS6FF1832BB,–,19441,01:42:29,03:37:50,03:46:39
4937,4539,428,"Lopez Lopez, Joaquin",9TGHS6FF17CD11,–,6012,01:28:55,03:03:28,03:06:36
14396,4540,25,"Reilly, Karen",9TGHS6FF18349E,–,19660,01:48:04,03:37:50,03:39:28
4938,4540,429,"Keller, Reuben",9TGHS6FF1838DD,–,6625,01:29:16,03:03:28,03:06:55
4939,4541,2985,"Navia Saavedra, Fabian",9TGHS6FF183549,–,6510,01:28:47,03:03:28,03:07:18
14400,4541,2786,"Howe Carter, Erika",9TGHS6FF18171F,–,25660,01:44:20,03:37:52,03:38:43
14401,4542,75,"O'Toole, Diane",9TGHS6FF182A75,–,20436,01:47:25,03:37:52,03:41:30
4940,4542,844,"Wood, Matthew",9TGHS6FF182790,–,5161,01:27:52,03:03:28,03:06:05
14402,4543,222,"Ryan, Colleen",9TGHS6FF182D51,–,12644,01:41:09,03:37:52,03:41:04
4941,4543,430,"Lee, Gene",9TGHS6FF17DBE2,–,9745,01:30:17,03:03:28,03:04:24
14403,4544,893,"Spriggs, Davina",9TGHS6FF181F50,–,15054,01:45:27,03:37:53,03:43:38
4942,4544,431,"Shattuck, Drew",9TGHS6FF183C2A,–,5948,01:31:01,03:03:29,03:05:52
14404,4545,894,"Faber, Audrey",9TGHS6FF17CC50,–,20030,01:47:28,03:37:53,03:40:05
4943,4545,432,"Tavares, Marcio",9TGHS6FF17E836,–,6674,01:26:17,03:03:30,03:06:40
14405,4546,895,"Zimmerman, Miranda",9TGHS6FF1824BF,–,13657,01:45:28,03:37:53,03:39:04
4944,4546,2986,"Johnson, Kyle",9TGHS6FF17E225,–,3012,01:29:20,03:03:30,03:04:43
4945,4547,433,"Bridges, Jeremy",9TGHS6FF17E119,–,8621,01:31:37,03:03:30,03:03:36
14406,4547,539,"Poirel, Alicia",9TGHS6FF17D5C0,–,10262,01:47:53,03:37:53,03:44:03
14407,4548,540,"Romero, Miriam",9TGHS6FF17FF0B,–,19741,01:44:24,03:37:53,03:39:29
4946,4548,215,"Pahoski, Chris",9TGHS6FF182A30,–,8900,01:28:57,03:03:30,03:04:02
