School,Number of Regional Entries,Number of National Qualifiers,Number of Outperformers,Distinct Events,Percent Qualifying,Percent Outperforming,Percent Events Represented,Number of Regional Entries (Scaled),Overall Score
Virginia,10,4,6,4,0.4,0.6,0.6666666666666666,0.42857142857142855,0.5238095238095237
Wake Forest,6,3,4,4,0.5,0.6666666666666666,0.6666666666666666,0.23809523809523808,0.5178571428571428
Oregon,11,2,6,5,0.18181818181818182,0.5454545454545454,0.8333333333333334,0.4761904761904761,0.5091991341991342
E. Kentucky,7,3,3,5,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.2857142857142857,0.49404761904761907
CBU,6,1,5,4,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.23809523809523808,0.47619047619047616
Georgetown,6,2,3,5,0.3333333333333333,0.5,0.8333333333333334,0.23809523809523808,0.47619047619047616
Wyoming,4,2,3,3,0.5,0.75,0.5,0.14285714285714285,0.4732142857142857
Youngstown St.,2,1,2,2,0.5,1.0,0.3333333333333333,0.047619047619047616,0.47023809523809523
Navy,2,1,2,2,0.5,1.0,0.3333333333333333,0.047619047619047616,0.47023809523809523
Furman,7,2,3,5,0.2857142857142857,0.42857142857142855,0.8333333333333334,0.2857142857142857,0.45833333333333337
NC State,7,5,1,4,0.7142857142857143,0.14285714285714285,0.6666666666666666,0.2857142857142857,0.45238095238095233
Michigan,9,0,5,5,0.0,0.5555555555555556,0.8333333333333334,0.38095238095238093,0.44246031746031744
Kentucky,3,1,3,2,0.3333333333333333,1.0,0.3333333333333333,0.09523809523809523,0.44047619047619047
Villanova,6,3,3,3,0.5,0.5,0.5,0.23809523809523808,0.43452380952380953
Idaho,2,1,2,1,0.5,1.0,0.16666666666666666,0.047619047619047616,0.4285714285714286
Syracuse,8,1,6,3,0.125,0.75,0.5,0.3333333333333333,0.4270833333333333
Stanford,12,3,3,4,0.25,0.25,0.6666666666666666,0.5238095238095237,0.42261904761904756
UT State,8,1,3,5,0.125,0.375,0.8333333333333334,0.3333333333333333,0.41666666666666663
GA Tech,5,0,4,4,0.0,0.8,0.6666666666666666,0.19047619047619047,0.41428571428571426
Utah,7,2,4,3,0.2857142857142857,0.5714285714285714,0.5,0.2857142857142857,0.4107142857142857
North Carolina,8,3,2,4,0.375,0.25,0.6666666666666666,0.3333333333333333,0.40625
Wisconsin,10,0,5,4,0.0,0.5,0.6666666666666666,0.42857142857142855,0.39880952380952384
Louisville,3,2,1,3,0.6666666666666666,0.3333333333333333,0.5,0.09523809523809523,0.3988095238095238
Oklahoma,3,1,2,3,0.3333333333333333,0.6666666666666666,0.5,0.09523809523809523,0.3988095238095238
Army West Point,3,1,2,3,0.3333333333333333,0.6666666666666666,0.5,0.09523809523809523,0.3988095238095238
Portland,6,1,3,4,0.16666666666666666,0.5,0.6666666666666666,0.23809523809523808,0.39285714285714285
La Salle,4,1,2,4,0.25,0.5,0.6666666666666666,0.14285714285714285,0.38988095238095233
Wash State,8,1,2,5,0.125,0.25,0.8333333333333334,0.3333333333333333,0.38541666666666663
Ole Miss,7,2,2,4,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.38095238095238093
Weber State,5,1,3,3,0.2,0.6,0.5,0.19047619047619047,0.3726190476190476
Colorado,5,1,2,4,0.2,0.4,0.6666666666666666,0.19047619047619047,0.3642857142857143
UCLA,3,0,3,2,0.0,1.0,0.3333333333333333,0.09523809523809523,0.35714285714285715
Florida,3,1,2,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.09523809523809523,0.3571428571428571
Penn,3,1,2,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.09523809523809523,0.3571428571428571
Miss State,3,1,2,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.09523809523809523,0.3571428571428571
Auburn,3,2,1,2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.09523809523809523,0.3571428571428571
Clemson,3,1,2,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.09523809523809523,0.3571428571428571
UT Valley,5,0,2,5,0.0,0.4,0.8333333333333334,0.19047619047619047,0.35595238095238096
Purdue,6,0,3,4,0.0,0.5,0.6666666666666666,0.23809523809523808,0.35119047619047616
West Virginia,4,2,1,3,0.5,0.25,0.5,0.14285714285714285,0.3482142857142857
Liberty,4,0,3,3,0.0,0.75,0.5,0.14285714285714285,0.3482142857142857
Minnesota,4,1,2,3,0.25,0.5,0.5,0.14285714285714285,0.3482142857142857
Boise State,4,1,2,3,0.25,0.5,0.5,0.14285714285714285,0.3482142857142857
Belmont,2,0,2,2,0.0,1.0,0.3333333333333333,0.047619047619047616,0.34523809523809523
Boston U.,2,1,1,2,0.5,0.5,0.3333333333333333,0.047619047619047616,0.34523809523809523
Tulsa,2,0,2,2,0.0,1.0,0.3333333333333333,0.047619047619047616,0.34523809523809523
Cen Michigan,2,1,1,2,0.5,0.5,0.3333333333333333,0.047619047619047616,0.34523809523809523
Dartmouth,2,0,2,2,0.0,1.0,0.3333333333333333,0.047619047619047616,0.34523809523809523
Yale,2,0,2,2,0.0,1.0,0.3333333333333333,0.047619047619047616,0.34523809523809523
Boston College,4,0,2,4,0.0,0.5,0.6666666666666666,0.14285714285714285,0.32738095238095233
VA Tech,5,1,1,4,0.2,0.2,0.6666666666666666,0.19047619047619047,0.3142857142857143
FL State,6,1,1,4,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.23809523809523808,0.30952380952380953
Butler,4,2,1,2,0.5,0.25,0.3333333333333333,0.14285714285714285,0.306547619047619
Iowa,2,0,2,1,0.0,1.0,0.16666666666666666,0.047619047619047616,0.3035714285714286
